# t qw qx qy qz x y z vx vy vz p q r ax ay az
0.116 0.938616 0.0270318 0.0729199 -0.336083 -0.70787 1.54685 0.910426 -1.43218 -2.73204 0.000105967 -0.159382 -0.167939 0.983211 2.59371 -1.23592 0.620994 
0.117 0.938789 0.0269647 0.072855 -0.335618 -0.709302 1.54412 0.910426 -1.4309 -2.73467 0.000315882 -0.159439 -0.166361 0.982542 2.59848 -1.20895 0.622738 
0.118 0.938962 0.0268979 0.0727908 -0.335153 -0.710732 1.54138 0.910426 -1.4296 -2.73729 0.000527263 -0.159497 -0.164749 0.981861 2.60321 -1.182 0.624438 
0.119 0.939135 0.0268312 0.0727273 -0.334689 -0.712161 1.53864 0.910427 -1.42827 -2.73988 0.00074007 -0.159555 -0.163104 0.981167 2.6079 -1.15507 0.626093 
0.12 0.939307 0.0267648 0.0726647 -0.334225 -0.713588 1.5359 0.910428 -1.42692 -2.74246 0.000954263 -0.159613 -0.161425 0.980461 2.61254 -1.12817 0.627703 
0.121 0.939478 0.0266986 0.0726028 -0.333761 -0.715015 1.53316 0.910429 -1.42554 -2.74502 0.0011698 -0.159671 -0.159713 0.979743 2.61714 -1.10129 0.629266 
0.122 0.93965 0.0266326 0.0725418 -0.333297 -0.71644 1.53041 0.91043 -1.42414 -2.74755 0.00138664 -0.159729 -0.157967 0.979013 2.62169 -1.07443 0.630783 
0.123 0.93982 0.0265669 0.0724815 -0.332833 -0.717863 1.52766 0.910432 -1.42272 -2.75007 0.00160474 -0.159787 -0.156187 0.97827 2.62619 -1.0476 0.632251 
0.124 0.939991 0.0265014 0.0724222 -0.33237 -0.719285 1.52491 0.910433 -1.42128 -2.75257 0.00182405 -0.159846 -0.154374 0.977515 2.63065 -1.02079 0.633671 
0.125 0.940161 0.0264361 0.0723637 -0.331907 -0.720706 1.52216 0.910435 -1.41981 -2.75505 0.00204453 -0.159904 -0.152527 0.976748 2.63507 -0.994009 0.63504 
0.126 0.94033 0.0263711 0.072306 -0.331444 -0.722125 1.5194 0.910437 -1.41832 -2.75751 0.00226614 -0.159962 -0.150647 0.975969 2.63943 -0.96725 0.636359 
0.127 0.940499 0.0263063 0.0722493 -0.330982 -0.723542 1.51664 0.91044 -1.41681 -2.75995 0.00248882 -0.16002 -0.148733 0.975177 2.64375 -0.940516 0.637627 
0.128 0.940668 0.0262418 0.0721935 -0.330519 -0.724958 1.51388 0.910442 -1.41528 -2.76238 0.00271253 -0.160078 -0.146785 0.974374 2.64802 -0.913808 0.638842 
0.129 0.940836 0.0261776 0.0721386 -0.330057 -0.726373 1.51112 0.910445 -1.41372 -2.76478 0.00293722 -0.160136 -0.144804 0.973558 2.65225 -0.887126 0.640004 
0.13 0.941004 0.0261136 0.0720846 -0.329596 -0.727786 1.50835 0.910448 -1.41214 -2.76716 0.00316284 -0.160193 -0.142789 0.97273 2.65642 -0.86047 0.641112 
0.131 0.941171 0.0260499 0.0720316 -0.329134 -0.729197 1.50558 0.910451 -1.41054 -2.76952 0.00338934 -0.16025 -0.140741 0.971889 2.66055 -0.833841 0.642165 
0.132 0.941338 0.0259865 0.0719796 -0.328673 -0.730607 1.50281 0.910455 -1.40891 -2.77186 0.00361666 -0.160307 -0.138659 0.971037 2.66462 -0.807239 0.643161 
0.133 0.941505 0.0259233 0.0719285 -0.328212 -0.732015 1.50004 0.910459 -1.40727 -2.77419 0.00384476 -0.160363 -0.136543 0.970172 2.66865 -0.780664 0.644101 
0.134 0.941671 0.0258605 0.0718785 -0.327752 -0.733421 1.49726 0.910463 -1.4056 -2.77649 0.00407357 -0.160419 -0.134394 0.969296 2.67262 -0.754116 0.644982 
0.135 0.941836 0.0257979 0.0718295 -0.327291 -0.734826 1.49449 0.910467 -1.40391 -2.77877 0.00430305 -0.160474 -0.132211 0.968407 2.67655 -0.727597 0.645805 
0.136 0.942001 0.0257356 0.0717815 -0.326832 -0.736229 1.49171 0.910471 -1.4022 -2.78103 0.00453313 -0.160529 -0.129995 0.967506 2.68042 -0.701105 0.646568 
0.137 0.942166 0.0256736 0.0717346 -0.326372 -0.73763 1.48892 0.910476 -1.40047 -2.78328 0.00476377 -0.160583 -0.127745 0.966593 2.68424 -0.674643 0.64727 
0.138 0.94233 0.025612 0.0716888 -0.325913 -0.73903 1.48614 0.910481 -1.39871 -2.7855 0.0049949 -0.160637 -0.125461 0.965667 2.688 -0.648209 0.64791 
0.139 0.942494 0.0255506 0.071644 -0.325454 -0.740428 1.48335 0.910486 -1.39693 -2.7877 0.00522645 -0.160689 -0.123144 0.96473 2.69172 -0.621805 0.648488 
0.14 0.942657 0.0254896 0.0716004 -0.324995 -0.741824 1.48056 0.910491 -1.39514 -2.78988 0.00545839 -0.160741 -0.120793 0.96378 2.69538 -0.59543 0.649001 
0.141 0.94282 0.0254288 0.0715578 -0.324537 -0.743218 1.47777 0.910497 -1.39332 -2.79205 0.00569063 -0.160793 -0.118408 0.962819 2.69898 -0.569085 0.64945 
0.142 0.942982 0.0253684 0.0715164 -0.324079 -0.74461 1.47498 0.910503 -1.39148 -2.79419 0.00592312 -0.160843 -0.11599 0.961845 2.70253 -0.542771 0.649833 
